model,batch_size,learning_rate,filters,precision_area,recall_area,f1_score_area
Unet,4,0.001,4,0.5817522406578064,0.8456330895423889,0.6876683831214905
Unet,4,0.0005,4,0.5229324102401733,0.8584172129631042,0.6472563147544861
Unet,4,0.001,16,0.0812506228685379,0.0001150052557932213,0.00022967494442127645
Unet,4,0.0005,16,0.5481770038604736,0.8949512243270874,0.6774479150772095
Unet,4,0.001,32,0.45479097962379456,0.9516990184783936,0.6122730374336243
Unet,4,0.0005,32,0.6514924764633179,0.8295326828956604,0.7288966178894043
